"id","title","vote_average","vote_count","status","release_date","revenue","runtime","budget","imdb_id","original_language","original_title","overview","popularity","tagline","genres","production_companies","production_countries","spoken_languages","cast","director","director_of_photography","writers","producers","music_composer","imdb_rating","imdb_votes","poster_path"
"77","Memento","8.18","14811.0","Released","2000-10-11","40047236.0","113.0","9000000.0","tt0209144","en","Memento","Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.","39.394","Some memories are best forgotten.","Mystery, Thriller","Newmarket Films, Summit Entertainment, Team Todd, I Remember Productions","United States of America","English","Callum Keith Rennie, Mark Boone Junior, Thomas Lennon, Marianne Muellerleile, Harriet Sansom Harris, Jorja Fox, Larry Holden, Kimberly Campbell, Guy Pearce, Stephen Tobolowsky, Carrie-Anne Moss, Russ Fega, Joe Pantoliano","Christopher Nolan","Wally Pfister","Jonathan Nolan, Christopher Nolan","Suzanne Todd, Jennifer Todd, Aaron Ryder","David Julyan","8.4","1350620.0","/nWtySDlffTfwAa0rSfq61o33ZXV.jpg"
"78","Blade Runner","7.9","13722.0","Released","1982-06-25","41722424.0","118.0","28000000.0","tt0083658","en","Blade Runner","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","66.575","Man has made his match...now it's his problem.","Science Fiction, Drama, Thriller","Shaw Brothers, The Ladd Company, Warner Bros. Pictures","United States of America, Hong Kong, United Kingdom","English, Deutsch, 广州话 / 廣州話, 日本語, Magyar","Steve Pope, Joe Turkel, John Edward Allen, Daryl Hannah, Sharon Hesky, Tom Hutchinson, M. Emmet Walsh, Dawna Lee Heising, Charles Knapp, Rutger Hauer, Hy Pyke, Harrison Ford, Kelly Hine, Morgan Paull, Sean Young, Carolyn DeMirjian, Alexis Rhee, Judith Burnett, Joanna Cassidy, Leo Gorcey Jr., Edward James Olmos, Ben Astar, William Sanderson, Rose Mascari, Jiro Okazaki, Brion James, Kimiko Hiroshige, James Hong, Bob Okazaki, Robert Reiter, Kevin Thompson","Ridley Scott","Jordan Cronenweth","David Webb Peoples, Hampton Fancher, Philip K. Dick","Michael Deeley, Run Run Shaw","Vangelis","8.1","838850.0","/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg"
"79","Hero","7.5","2235.0","Released","2002-07-22","177394432.0","99.0","31000000.0","tt0299977","zh","英雄","During China's Warring States period, a district prefect arrives at the palace of Qin Shi Huang, claiming to have killed the three assassins who had made an attempt on the king's life three years ago.","30.305","One man's strength will unite an empire.","Drama, Adventure, Action, History","Beijing New Picture Film Co. Ltd., China Film Co-Production Corp., Elite Group Enterprises, Miramax, Edko Films, Sil-Metropole Organisation, Zhang Yimou Studio, Good Machine","Hong Kong, China","普通话","Chen Daoming, Shou Xin Wang, Xu Kuang Hua, Zhang Yakun, James Hong, Chang Xiao Yang, Zhang Ziyi, Ma Wen Hua, Zheng Tianyong, Qin Yan, Liu Zhongyuan, Jin Ming, Jet Li, Maggie Cheung, Donnie Yen, Tony Leung Chiu-wai","Zhang Yimou","Christopher Doyle","Feng Li, Zhang Yimou, Bin Wang","Zhang Weiping, Zhang Zhenyan, Shoufang Dou, Zhang Yimou, Bill Kong Chi-Keung","Tan Dun","7.9","189274.0","/1NBtOH3KPU9UUp1vzVHJ8qzdW88.jpg"
"80","Before Sunset","7.8","3356.0","Released","2004-06-16","15992615.0","80.0","2700000.0","tt0381681","en","Before Sunset","Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.","24.505","What if you had a second chance with the one that got away?","Drama, Romance","Warner Independent Pictures, Castle Rock Entertainment, Detour Filmproduction","United States of America","English, Français","Diabolo, Rodolphe Pauly, Albert Delpy, Louise Lemoine Torrès, Mariane Plasteig, Denis Evrard, Julie Delpy, Ethan Hawke, Vernon Dobtcheff, Marie Pillet","Richard Linklater","Lee Daniel","Ethan Hawke, Julie Delpy, Kim Krizan, Richard Linklater","John Sloss, Anne Walker-McBay, Richard Linklater","","8.1","295105.0","/gycdE1ARByGQcK4fYR2mgpU6OO.jpg"
"81","Nausicaä of the Valley of the Wind","7.9","3537.0","Released","1984-03-11","9016411.0","117.0","1000000.0","tt0087544","ja","風の谷のナウシカ","After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.","32.737","A young girl's love called forth miracles…","Adventure, Animation, Fantasy","Topcraft","Japan","日本語","Rihoko Yoshida, Sumi Shimamoto, Hisako Kyoda, Mahito Tsujimura, Youji Matsuda, Iemasa Kayumi, Bin Shimada, Shinji Nomura, Mina Tominaga, Mugihito, Chika Sakamoto, Masako Sugaya, Tetsuo Mizutori, Akiko Tsuboi, Minoru Yada, Ichiro Nagai, Yoshiko Sakakibara, TARAKO, Takako Ota, Kohei Miyauchi, Takako Sasuga, Hochu Otsuka, Hisako Ayuhara, Gorō Naya, Joji Yanami, Takeki Nakamura","Hayao Miyazaki","","Kazunori Ito, Hayao Miyazaki","Isao Takahata, Toshio Suzuki, Michio Kondou, Yasuyoshi Tokuma, Tooru Hara","Joe Hisaishi","8.0","187020.0","/tcrkfB8SRPQCgwI88hQScua6nxh.jpg"
"82","Miami Vice","6.0","1758.0","Released","2006-07-27","163800000.0","132.0","135000000.0","tt0430357","en","Miami Vice","A case involving drug lords and murder in South Florida takes a personal turn for undercover detectives Sonny Crockett and Ricardo Tubbs. Unorthodox Crockett gets involved romantically with the Chinese-Cuban wife of a trafficker of arms and drugs, while Tubbs deals with an assault on those he loves.","16.902","No Law. No Rules. No Order.","Action, Crime, Thriller","Universal Pictures, Forward Pass, Motion Picture ETA Produktionsgesellschaft","Germany, United States of America","English, Español","Tara Cardinal, Gong Li, Deborah Demere, Jay Amor, Brad Batchelor, Marc Macaulay, Ashley Avis, Ciarán Hinds, Stephan Jones, Amir Aviram, Paul Aldanée, Colin Farrell, Don Frye, Robert Berson, Gilbert Quintana, Claudine Oriol, Naomie Harris, Elizabeth Rodriguez, Oleg Taktarov, Hailey Hansard, Stephane Kay, Taso N. Stavrakis, Eddie Marsan, David Yuzuk, Eboni Nichols, Dexter Fletcher, Danny Pardo, Tom Towles, Patrick Michael Buckley, Tony Curran, Ana Cristina Oliveira, Jon Tomlinson, Julia Perevedentseva, Nathan Russell, Arthur Bergman, John Ortiz, Abdel Tornes, Kenny Acevedo, Donald Dowd, Michelle Chin, Julia Zgoda, Mike Pniewski, Andrew Rasputin, Rob Larson, Luis Tosar, Chris Astoyan, Lorenzo Toledo, Juliana Guedes, Frankie J. Allison, Pablo Patlis, Jamie Foxx, Joe Vida, Ryan Anthony, John Hawkes, Vivienne Sendaydiego, Barry Shabaka Henley, Eric Bendross, Justin Theroux, Juanita Billue, Pasha D. Lychnikoff, Maria Leon, Everlayn Borges, Richard Katanga, Isaach de Bankolé, James Maurice Rowan Jr., Maxim Danilov, Julia Yarbrough, Ilan Krigsfeld, Ryan M. Phillips, Alexander Alonso, Domenick Lombardozzi, Mario Ernesto Sánchez","Michael Mann","Dion Beebe","Michael Mann, Anthony Yerkovich","Michael Mann, Anthony Yerkovich, Pieter Jan Brugge","John Murphy","6.1","125940.0","/1KGD2g0wOc7WBfHc5G19reLHQxk.jpg"
"83","Open Water","5.5","1047.0","Released","2003-10-26","54700000.0","79.0","130000.0","tt0374102","en","Open Water","Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...","13.16","Scream all you want.","Drama, Thriller, Horror","Plunge Pictures LLC, Lions Gate Films","United States of America","English","Michael E. Williamson, John Charles, Saul Stein, Daniel Travis, Blanchard Ryan, Cristina Zenato","Chris Kentis","Chris Kentis, Laura Lau","Chris Kentis","Estelle Lau, Laura Lau","Graeme Revell","5.8","57371.0","/pjLh97W1J8AdcuKWzqqdKHfYmp5.jpg"
"85","Raiders of the Lost Ark","7.9","12368.0","Released","1981-06-12","389925971.0","115.0","18000000.0","tt0082971","en","Raiders of the Lost Ark","When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.","66.582","If adventure has a name, it must be Indiana Jones!","Adventure, Action","Paramount Pictures, Lucasfilm Ltd.","United States of America","English, Español, Deutsch, עִבְרִית, العربية, ","Matthew Scurfield, Kiran Shah, Peter Diamond, Frank Marshall, Anthony Higgins, Bill Reimbold, Vic Armstrong, Romo Gorrara, Tony Vogel, Pat Roach, Terry Richards, Ted Grossman, Harrison Ford, George Harris, Alfred Molina, Don Fellows, Steve Hanson, Nick Gillard, Denholm Elliott, Barrie Holland, Ronald Lacey, Sonny Caldinez, William Hootkins, Terry Leonard, Patrick Durkin, Dennis Muren, Glenn Randall Jr., Reg Harding, Sergio Mioni, Frank Welker, Harry Fielder, Fred Sorenson, Rick Lester, Ishaq Bux, John Rees, Paul Freeman, Malcolm Weaver, John Rhys-Davies, Michael Sheard, Souad Messaoudi, Anthony Chinn, Vic Tablian, Christopher Frederick, Karen Allen, Wolf Kahler, Billy Horrigan, Tutte Lemkow, Martin Kreidt, Rocky Taylor, Egbert Sen, Eddie Tagoe","Steven Spielberg","Douglas Slocombe","Lawrence Kasdan, Philip Kaufman, George Lucas","Howard G. Kazanjian, George Lucas, Frank Marshall","John Williams","8.4","1055147.0","/ceG9VzoRAVGwivFU403Wc3AHRys.jpg"
"86","The Elementary Particles","6.2","134.0","Released","2006-02-10","0.0","105.0","6000000.0","tt0430051","de","Elementarteilchen","Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again.","11.706","","Drama, Romance","Moovie, Medienfonds German Film Productions GmbH & Co. KG, Constantin Film, ARD, Bernd Eichinger Productions, Momentum Pictures","Germany","English, Deutsch","Rüdiger Klink, Christian Ulmen, Franka Potente, Michael Gwisdek, Herbert Knaup, Jennifer Ulrich, Reiner Heise, Ursula Karusseit, Thomas Drechsel, Dieter Bach, Thomas Huber, Deborah Kaufmann, Uwe Ochsenknecht, Simon Licht, Michael Zühlke, Tyra Misoux, Nina Kronjäger, Thorsten Merten, Corinna Harfouch, Manfred Möck, Christian Schmidt, Bernd Stempel, Ingeborg Westphal, Martina Gedeck, Nina Hoss, Wilfried Hochholdinger, Joachim Kretzer, Jasmin Tabatabai, Tom Schilling, Moritz Bleibtreu, Franziska Schlattner, Ulrike Kriener, Hermann Beyer","Oskar Roehler","Carl-Friedrich Koschnick","Michel Houellebecq, Oskar Roehler","Oliver Berben, Bernd Eichinger","Martin Todsharow","6.6","8341.0","/wpGpR7GewyApPgqPvuWadBAfmFc.jpg"
"87","Indiana Jones and the Temple of Doom","7.3","9198.0","Released","1984-05-23","333000000.0","118.0","28000000.0","tt0087469","en","Indiana Jones and the Temple of Doom","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.","46.642","If adventure has a name... it must be Indiana Jones.","Adventure, Action","Paramount Pictures, Lucasfilm Ltd.","United States of America","普通话, English, සිංහල","Rex Ngui, Ruby de Mel, Kathleen Kennedy, Elaine Gough, Yash Agnihotri, Brenda Glassman, Roshan Seth, Christine Cartwright, Iranganie Serasinghe, Stany De Silva, Akio Mitamura, Amrish Puri, Kenneth Coombs, Tress MacNeille, Elizabeth Burville, Arthur F. Repola, Lee Sprintall, Deirdre Laird, D.R. Nanayakkara, Dickey Beer, Philip Stone, Frank Marshall, Lorraine Doyle, Ron Taylor, Alex Klaus, Harrison Ford, Samantha Hughes, Dan Aykroyd, Brad Kesten, Ke Huy Quan, Bhasker Patel, Arjun Pandher, Julia Marstand, Lisa Mulidore, Julie Kirk, Anthony Powell, Carol Beddington, Dawn Reddall, Ahmed El Shenawi, Jenny Turnock, Vanessa Fieldwright, Andrea Chance, Guy Standeven, Chua Kah Joo, Moti Makan, Michael Yama, Barrie Holland, Ric Young, Ruth Welby, Jan Colton, Philip Tan, Nizwar Karanj, Corinne Barton, Billy Horrigan, Mellan Mitchell, Vicki McDonald, Dharmadasa Kuruppu, Denavaka Hamine, Clare Smalley, Sharon Boone, Pat Roach, Raj Singh, George Lucas, Louise Dalgleish, David Yip, Steven Spielberg, Sarah-Jane Hassell, Marisa Campbell, Rebekkah Sekyi, Gaynor Martine, Katie Leigh, Roy Chiao, Dharshana Panangala, Sue Hadleigh, Patrick Loh, Maureen Bacchus, Sidney Ganis, Frank Olegario, Debbie Astell, Nina McMahon, Kate Capshaw, Zia Gelani","Steven Spielberg","Douglas Slocombe","Gloria Katz, George Lucas, Menno Meyjes, Willard Huyck, Philip Kaufman","Robert Watts, George Lucas, Frank Marshall","John Williams","7.5","543687.0","/t7Pv44sBcxhc47kNNDDafNAgr7Y.jpg"
